Nom;Code gare;Position Géographique;Localisation;Etat de fonctionnement;hauteur;adressesDNS;dateMiseEnService
ESC.MEC C014 N14;29a7ff77-3141-499e-9b69-e8b08c76b90f;;Accès avenue de Clichy / hall métro;OK;;;
Esc mec - 950 - Accès RER D - Quai 2/4;a6433423-9738-42fd-a125-321b28d78e8a;;Voies 2 et 4 accès RER D - Gauche / Plateforme d'échange RATP SNCF;OK;;;
esc mec - Quai B Est;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Voies 1 et 2 Paris / Hall départ;OK;;;
ESC.MEC J010 Quai Central;a38266e8-8708-48e7-80a6-190605f315ac;;Quai central / hall;OK;;;
Esc mec - montant R+1 famille vers R+2 lounge;9a48b3c4-0910-473a-8fcc-b445dddf27a3;;Espace lounge famille (R+1) (montant) / Espace attente (R+2);OK;;;
ESC.MEC E522 DEF2;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DEF2) Pôle Saint Denis;OK;;;
Esc mec - C 14 - Du hall 2 au quai n° 4/5 (double sens);db3c1d28-2b95-43df-ae9f-5418a778abe0;;Milieu des voies 4 et 5 / Hall 2;OK;;;
ESC.MEC C001 N1;29a7ff77-3141-499e-9b69-e8b08c76b90f;;Voie 1 direction Paris;OK;;;
Esc mec - 957 - Accès RER D - Quai 1/3;a6433423-9738-42fd-a125-321b28d78e8a;;Voies 1 et 3 accès RER D - Droite / Plateforme d'échange RATP SNCF;OK;;;
ESC.MEC N005 rue Abbe Rousseau;cb0d0983-2489-455c-b772-7ccdf8220678;;Accès gare rue Abbé Rousseau;OK;;;
esc mec - E 80 - Plate-forme voies M - N;a6433423-9738-42fd-a125-321b28d78e8a;;Galerie Diderot / Hall 1 (voies M et N);OK;;;
Esc mec - Hall Départ descente (AM43438T);6d950f75-8a47-4c30-b0ca-66f074ad3496;;Hall  départs / mezzanine départs;OK;;;
esc mec - EM quai 2 Descente;a67ea41d-e5f5-496c-8b90-7aa0e774fb9f;;Passerelle / Voies 2 et 3;OK;;;
Esc mec - Quai BV Voie 2 [AMB15585];b5b17aac-55e5-4b69-87ee-1b022334af33;;Voie 2 / passerelle;OK;;;
Esc mec - 36 B - Mezzanine <==> quai RER voies 42/44;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 4 - Niv-2 - Mezzanine banlieue / Hall 4 - Niv-3 - Voies 42 et 44;OK;;;
Esc mec - Cours de messagerie 1;5dd4fb9f-a6f3-4107-a7cf-e198e3d3b169;;Rue Alsace / Accès aux trains;OK;;;
ESC.MEC L033 Quai 2;684f804d-1352-4396-8b70-a2a27fbf4283;;Voie 2 et B;OK;;;
Esc mec - EM 83 - Hall Gare Paris Descendant;abb69b50-0b86-49ef-8fc5-c1116b5514a2;;pont Lecorbusier descendant / hall 2;OK;;;
Esc mec - Quai 3 Voies D/E [AMB22171];5d5ece4d-8cc9-4877-b797-76707642504c;;Voies D et E / souterrain;OK;;;
Esc mec - EM 9A - Mezzanine <==> quai voies 41/43;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 4 - Niv-3 - Voies 41 et 43 / Hall 4 - Niv-2 - Mezzanine banlieue;OK;;;
ESC.MEC E724 CFR2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(CFR2) Hall Caumartin / Mogador / Berry;OK;;;
Esc mec - AMB31580  Accès mezzanine;f07ba0be-e405-4013-bba5-c819741ff790;;Accès mezzanine / hall;OK;;;
ESC.MEC B022 Sortie EM2;6fc317ff-4a94-4407-b9bb-dd4f6bec000e;;Parvis / souterrain;OK;;;
esc mec -  E 48 EM gauche;adceab5e-d9bf-4cdc-8c13-66902b313a7c;;Rue Corbineau - Gauche / Gare de Bercy extérieur;KO;;;
esc mec - EM 04  hall 2 montée;72a31fc3-3b7f-4e0d-823f-ce3a878505de;;Hall 2 niveau parvis / Hall 2 niveau souterrain (montant);OK;;;
ESC.MEC J002 Voie 1B coté Province;1b862b71-cdef-4b4e-93a7-6ce96bfc95fa;;Voie 1B / sortie Estienne d'Orves;OK;;;
ESC.MEC N035 EM.14;cb0d0983-2489-455c-b772-7ccdf8220678;;Gare routière / hall 2;OK;;;
Esc mec - Quai central Voies A/1 [AMB23098];b5b17aac-55e5-4b69-87ee-1b022334af33;;Voies 1 et A / passerelle;OK;;;
Esc mec - TH2 - Hall de gare - Côté Nord;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 2 - Accès SUD - Hall Gare  / Niv 3 - ADP;OK;;;
esc mec - EM 6 - QT vers Rue SPP côté Rome;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Hall Niveau Quais / Niveau Rue Parvis Cour de Rome;OK;;;
Esc mec - AC 02 - hall 1 du niveau 0 porte Océane 6 au niveau + 2;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Sortie Tour Monparnasse niveau 0 / Hall 1 niveau 2;OK;;;
Esc mec - TG1 - Accès Nord - Quai TGV 3/5;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 2 - Accès NORD - Hall gare / Niv 1 - Accès NORD - Voies TGV 3 et 5;OK;;;
ESC.MEC J022 Quai C/D;c1ad848f-e403-45b2-bf8d-3948ff48c58a;;Voies C et D / passerelle;OK;;;
esc mec - Dalle parvis Sud;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Dalle / Parvis Sud;OK;;;
ESC.MEC L070 EM 1;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Passerelle / sortie Chevreul côté Asnières;OK;;;
ESC.MEC A012 Quai Central 2;d72d5d76-9e7b-412c-8adb-f2a2c4788ce1;;Voie 2 / hall;OK;;;
ESC.MEC E030 Quai 1;ad656bd1-7caa-43fe-9e39-aaa6e11d6aea;;Voie C / souterrain;OK;;;
Esc mec - Hall BV (côté Sud);77325eb6-4cdf-42ac-9707-c9f7e78fd9b5;;Hall Sud montée / mezzanine salle d'attente (passerelle);OK;;;
Esc mec - EM5/VOIE4- Nord Haut;e01debd3-2d9b-4cff-bb34-7ac5dd96ec7d;;Palier intermédiaire voie 4 Nord / Hall (+1);KO;;;
Esc mec - MA 02 - hall 1 du  niveau métro  au niveau 0 porte Océane 6;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Sortie Tour Monparnasse niveau 0 / Métro niveau -1;OK;;;
ESC.MEC E733 HA3D2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(HA3D2) Quai direction le havre;OK;;;
esc mec - Voie H/I Montant;270e6cc2-d881-4c1c-aa97-1ad95026576a;;Voies H et I montant / Hall niveau 2;OK;;;
Esc mec - Mezzanine accès quai D;77474ee2-1c30-4740-a579-b52c2bc74d89;;Voies 6 et 7 / mezzanine;KO;;;
ESC.MEC E056 voie C/D;f8a957f8-7e3c-448c-921b-4cf8bc095640;;Voies C et D / passerelle;OK;;;
Esc mec - Quai 4/6 Nord Montée;ded1a773-b7d6-4c70-b9e9-f154e65be849;;Voies 4 et 6 - Repères A à E - Montant / Porte Rhône;OK;;;
Esc mec - Mezzanine accès quai C Sud;77474ee2-1c30-4740-a579-b52c2bc74d89;;Voies 4 et 5 Sud / mezzanine;OK;;;
Esc mec - Quai B Ouest;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Voies 1 et 2 Brest / Lien urbain;OK;;;
esc mec - 953 - Accès RER D - Quai 1/3;a6433423-9738-42fd-a125-321b28d78e8a;;Voies 1 et 3 accès RER D - Droite / Plateforme d'échange RATP SNCF;OK;;;
esc mec - EM 1 - HALL 2 - Châlon EXTERIEUR;a6433423-9738-42fd-a125-321b28d78e8a;;Hall 3 (Place Henri Fresnay - Parking) / Hall 2;OK;;;
Esc mec - D 14 - Du hall 2 au quai n° 6/7 (double sens);db3c1d28-2b95-43df-ae9f-5418a778abe0;;Milieu des voies 6 et 7 / Hall 2;OK;;;
ESC.MEC C121 BV B1;42fd8f3d-5580-421e-8ec0-da2fc8d21742;;Hall Lalou;OK;;;
Esc mec - MA 10 - hall 4 du niveau 0 au niveau métro;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Hall 4 niveau 0 / Métro niveau -1;OK;;;
ESC.MEC B023 Sortie EM3;6fc317ff-4a94-4407-b9bb-dd4f6bec000e;;Parvis / souterrain;OK;;;
esc mec - EM 07  Hall  1 Nord;72a31fc3-3b7f-4e0d-823f-ce3a878505de;;Hall 1 (montant) / parvis;OK;;;
ESC.MEC N033 EM.10 voies B/C;cb0d0983-2489-455c-b772-7ccdf8220678;;Voies B et C / passerelle 2;OK;;;
ESC.MEC E031 Quai 1 S.GR;ad656bd1-7caa-43fe-9e39-aaa6e11d6aea;;Voie C sortie gare routière;KO;;;
Esc mec - Mezzanine parvis Nord côté Est;77474ee2-1c30-4740-a579-b52c2bc74d89;;hall nord côté est / mezzanine;OK;;;
Esc mec - QN 2 - hall 2 du quai n° 24 au hall;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Voie 24 / Hall 2;KO;;;
ESC.MEC N011 Quai B;8ea049ab-b432-423d-a171-edf75fe75f28;;Quai B;OK;;;
Esc mec - Mezzanine parvis Nord central;77474ee2-1c30-4740-a579-b52c2bc74d89;;Hall nord central / mezzanine;OK;;;
ESC.MEC C092 Quai 2 (Côté PARIS);49826ab9-7c65-4370-b33e-be706ae71918;;Voies 2 et 2B;OK;;;
esc mec - EM 20 - Rue vers métro milieu côté Havre;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Niveau Métro / Niveau Rue;OK;;;
esc mec - EM 3 - HALL 3 - HALL 2;a6433423-9738-42fd-a125-321b28d78e8a;;Hall 3 / Hall 2;OK;;;
ESC.MEC L074 EM 5;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Quai C / passerelle;OK;;;
Esc mec - TD1 - Accès Sud - Quai TGV 3/5;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 2 - Accès SUD - Hall gare / Niv 1 - Accès SUD - Voies TGV 3 et 5;OK;;;
esc mec - 951 - Accès RER D - Quai 1/3;a6433423-9738-42fd-a125-321b28d78e8a;;Voies 1 et 3 accès RER D - Gauche / Plateforme d'échange RATP SNCF;OK;;;
ESC.MEC L071 EM 2;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Quai A / passerelle;OK;;;
ESC.MEC E526 SA1D;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(SA1D) Quais;OK;;;
ESC.MEC L001 Quai A/B Voie A;5049458b-d8bd-4625-a811-5b33127d5cfe;;Voie A direction Versaille;OK;;;
Esc mec - Quai 2 Voies B/C Passerelle [AM29315R];a121239c-108a-4bfa-8254-069b73dbe619;;Voies B et C / Passerelle;OK;;;
esc mec - EM 3 - QT vers escalier d'honneur;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Sortie Parvis Cour de Rome / Hall niveau Quais;OK;;;
ESC.MEC C030 L. MICHEL;eda94b3b-498e-43e9-9686-79a895ed3422;;Hall;OK;;;
esc mec - cœur de gare 7;5dd4fb9f-a6f3-4107-a7cf-e198e3d3b169;;RATP Lignes 4, 5, 7 / Gare;OK;;;
esc mec - Quai B sous dalle;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Voies 1 et 2 souterrain / Hall arrivée;OK;;;
ESC.MEC L073 EM 4;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Parvis / passerelle;OK;;;
ESC.MEC E025 Quai 1;a950ffb4-d0e3-4723-87e3-e9da029491e5;;Voie A / hall / souterrain / parvis;OK;;;
esc mec -  voie 4/5 passerelle Sud;ce2b2a5a-aa75-4d42-bf45-4a4ab0a8929d;;Voie 4 et 5 / passerelle Sud;OK;;;
esc mec - EM 8 : Quai 3 - côté Nimes;3a8d2e95-4378-4d72-ba9b-0e082dfb8916;;Voies D et E côté Nîmes / nef;OK;;;
Esc mec - Hall de la gare [10577564];71e30c0e-9c3a-449a-9743-44a85d48427e;;Hall / souterrain;OK;;;
Esc mec - Quai 4 Voies F/G Souterrain [AM29320R];a121239c-108a-4bfa-8254-069b73dbe619;;Voies F et G / souterrain;OK;;;
esc mec - Quai E sous dalle;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Voies 7 et 8 souterrain / Hall arrivée;OK;;;
Esc mec - AMB 38281 Sortie hall;f07ba0be-e405-4013-bba5-c819741ff790;;Sortie hall / souterrain;OK;;;
Esc mec - EM3/VOIE3 - Sud Haut;e01debd3-2d9b-4cff-bb34-7ac5dd96ec7d;;Palier intermédiaire voies 3 et 5 Sud / Hall (+1);INCONNU;;;
Esc mec - AC 03 - hall 1 du niveau 0 porte Océane 1 au niveau + 2;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Sortie Tour Monparnasse niveau 0 / Hall 1 niveau 2;OK;;;
Esc mec - Quai 4/6 Sud descente;ded1a773-b7d6-4c70-b9e9-f154e65be849;;Voies 4 et 6 - Repères F à J - Descendan / Porte Alpes;OK;;;
Esc mec - EM27 Mezzanine banlieue <==> Voies 30/31;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 4 - Niv-2 - Mezzanine banlieue  / Hall 3B - Niv0 - Voies 30 et 31;OK;;;
ESC.MEC E720 CDF2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(CDF2) Hall / salle inférieure;OK;;;
ESC.MEC J015 Q. CENTRAL;ab52bb21-c96b-45fd-ac8c-f7350943f9da;;Quai 2 direction Paris;OK;;;
esc mec - Quai K - EM K2;f8df288c-2b8b-4e2b-9cef-5cfcd7028bf4;;Voies K et L / Hall 1;OK;;;
ESC.MEC T020 Q1;50393778-bac8-4cf3-8cf8-c29278c8c958;;Quai 1;OK;;;
esc mec - E 40 - Plate-forme voies E - H;a6433423-9738-42fd-a125-321b28d78e8a;;Galerie Diderot / Hall 1 (voies E et H);INCONNU;;;
Esc mec - Hall/Hall;7184bf22-7d77-425c-a5be-664515308574;;Hall / Hall;KO;;;
Esc mec - EM20 / Mezzanine blanlieue <==> Voies 34/35;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 4 - Niv-2 - Mezzanine banlieue  / Hall 3B - Niv0 - Voies 34 et 35;OK;;;
esc mec - 813 - HALL 3 - accès voies D-E;a6433423-9738-42fd-a125-321b28d78e8a;;Voies D et E / Hall 3 (voies D et E);OK;;;
ESC.MEC E521 DEF1;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DEF1) Pôle Saint Denis;OK;;;
Esc mec - BC7 - niveau +2 au niveau +1;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Hall 1 niveau 2 / Mezzanine niveau 1;OK;;;
Esc mec - Hall Nouvelle Gare côté ascenseur [AMB22765];71e30c0e-9c3a-449a-9743-44a85d48427e;;Hall nouvelle gare Perpignan (2 HM) / souterrain;OK;;;
esc mec - Quai 2/4 côté Le Havre;a5bf3b1d-70e4-4873-98ab-9f03a79fa558;;Voies 2 et 4 côté Le Havre / Hall;OK;;;
esc mec - Du quai 4 au hall;1b5976cd-d539-4dd9-9ebf-80735cb42e25;;Voie 4 / hall;OK;;;
esc mec - Château Landon;5dd4fb9f-a6f3-4107-a7cf-e198e3d3b169;;Métro Château Landon / Sortie rue Château Landon;OK;;;
esc mec - 816 - HALL 3 - accès voies G-H;a6433423-9738-42fd-a125-321b28d78e8a;;Voies G et H / Hall 3 (voies G et H);INCONNU;;;
Esc mec - BC5 - niveau +1 au niveau +2;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Mezzanine niveau 1 / Hall 1 niveau 2;OK;;;
ESC.MEC C065 Quai AVoie 2;09df9e2b-3a20-422e-aacd-1c8c9f87d3d0;;Voie 2 / hall côté guichet;OK;;;
Esc mec - voie A descente;2e500c0d-7a48-452c-8753-efad7d204b23;;Passerelle / Voie A;OK;;;
esc mec - hall / passage inférieur (côté hall) montant;c59dec99-e5d8-4949-82b6-250d7960dc15;;Hall / passage inférieur (côté hall) montant;OK;;;
esc mec - Parvis sud dalle;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Parvis Sud / Dalle;INCONNU;;;
esc mec -  voie 4/5 passerelle Nord;ce2b2a5a-aa75-4d42-bf45-4a4ab0a8929d;;Voies 4 et 5 / passerelle Nord;OK;;;
ESC.MEC E534 SDE1;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(SDE1) Pôle Alsace;OK;;;
ESC.MEC L018 petit gauche;7619e979-09ea-4176-a2da-4221bf92ec45;;Salle des colonnes;OK;;;
esc mec - Métro parvis Ouest;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Métro / parvis Ouest;OK;;;
esc mec - Accès quai B - gare souterraine - EM n° 8;002271ab-2ed4-4eaa-aed1-d1db7a81f230;;Voies 1 et 3 RER C / Accès Quais Gare souterraine;INCONNU;;;
ESC.MEC E504 DA2C2;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DA2C2) Quais;OK;;;
EPMR - EPMR handicapé 1;72a31fc3-3b7f-4e0d-823f-ce3a878505de;;Plateforme élévatrice PMR;INCONNU;0.0;;
esc mec - Hall vers parking;a5bf3b1d-70e4-4873-98ab-9f03a79fa558;;Parking / Hall;OK;;;
EPMR - Quai Central;18046324-7a3f-4b47-9526-503c0ff397f2;48.54406, -1.7500331;Voie centrale / souterrain;OK;0.0;;2006-01-01T00:00:00
esc mec - EM quai 4 N;1256d5fe-bbc3-416b-9bf5-184b0b84b2a3;;Voies 6 et 7 / Souterrain Nord;OK;;;
EPMR - plateforme EPMR parvis;e2545845-4674-4a10-a97f-6bec457ff105;46.818443, 0.54929775;Parvis niveau rue / Parvis niveau gare;INCONNU;0.0;;2017-04-01T00:00:00
Esc mec - EM 2 : Quai 2 - Côté Sète;3a8d2e95-4378-4d72-ba9b-0e082dfb8916;;Voies B et C côté Sète / nef;OK;;;
ESC.MEC L076 EM 7;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Passerelle / sortie Quinet côté Courbevoie;OK;;;
Esc mec - Gare de Bercy - EM extérieur - E35;adceab5e-d9bf-4cdc-8c13-66902b313a7c;;Rue de Bercy - gauche / Gare de Bercy extérieur;OK;;;
esc mec - St Léon RDC à R-1 VM114;bd3a55c7-b622-414f-907b-ce379d351038;;Hall St Léon / Parking St Léon;OK;;;
ESC.MEC E538 SDE2;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(SDE2) Pôle Alsace;OK;;;
ESC.MEC C006 N6;29a7ff77-3141-499e-9b69-e8b08c76b90f;;Voie A sortie Jonquière;OK;;;
ESC.MEC E739 MOG3;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(MOG3) sortie Mogador / Berry;OK;;;
esc mec - EM quai 4 Descente;a67ea41d-e5f5-496c-8b90-7aa0e774fb9f;;Passerelle / Voies 6 et 7;OK;;;
ESC.MEC H009 Quai E Voie 19/20;592e9a77-d5e5-4700-a429-305985cc5892;;Voies 19 et 20 / passerelle;OK;;;
ESC.MEC E713 CA4D2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(CA4D2) Hall Caumartin Niveau Quai;OK;;;
esc mec - EM 16 - Rue vers métro côté Rome;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Niveau Métro / Niveau Rue;OK;;;
ESC.MEC. C070 EM1 Parvis;1b5976cd-d539-4dd9-9ebf-80735cb42e25;;Parvis sortie Massy;OK;;;
ESC.MEC D002 Voie 1 Quai 2;68c9c229-aa6b-403e-a465-9fceb9d6bf45;;Voie 1 direction Province / passerelle;OK;;;
ESC.MEC L010 Quai A;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Voie A / souterrain;OK;;;
ESC.MEC C109 Quai C/D gauche - 9;b86ef9b5-cf80-4bfc-a95a-e7c4e74430cf;;Quais C et D gauche / hall;OK;;;
esc mec - Quai C Est;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Voies 3 et 4 Paris / Hall départ;OK;;;
Esc mec - AC 10 - hall 4 du niveau 0 à la plateforme IDF voies 10 à 13;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Hall 4 niveau 0 / Voies 10 à 17 IDF Ligne N;OK;;;
ESC.MEC E756 YDI2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;1 rue de l'Isle / passerelle supérieure pôle Saint-Lazare;KO;;;
esc mec - Accès quai B - gare souterraine - EM n° 7;002271ab-2ed4-4eaa-aed1-d1db7a81f230;;Voies 1 et 3 RER C / Accès Quais Gare souterraine;INCONNU;;;
esc mec - EM 5 - QT vers Rue SPP côté Rome;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Niveau Rue Parvis Cour de Rome / Hall Niveau Quais;OK;;;
ESC.MEC C072.EM4 Quai B Voie 1/3;1b5976cd-d539-4dd9-9ebf-80735cb42e25;;Voies 1 et 3;OK;;;
ESC.MEC E528 SA2D;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(SA2D) Quais;OK;;;
esc mec - EM quai 1 C;1256d5fe-bbc3-416b-9bf5-184b0b84b2a3;;Voies 1, 25, 31, 32 et 33 / Souterrain Central;OK;;;
esc mec - cœur de gare 1;5dd4fb9f-a6f3-4107-a7cf-e198e3d3b169;;Gare / RATP Lignes 4, 5, 7;KO;;;
Esc mec - MA 06 - hall 1 du niveau métro au niveau 0 porte Océane 1;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Métro niveau -1 / Sortie Tour Monparnasse niveau 0;OK;;;
ESC.MEC C201 Quai B A1;b4524294-b039-4ac1-8dce-730d1d90132b;;Voies 1 et 3;OK;;;
Esc mec - EM 5 B - niveau 0 <==> niveau 1, coté droit;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 1 - Niv-1  /  Hall 1 - Niv0 - Voies Grandes Lignes;OK;;;
Esc mec - TH3 - Hall gare - Côté Sud - Milieu;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 3 - ADP / Niv 2 - Accès NORD - Hall gare;OK;;;
ESC.MEC A022 Quai A N°2;fdd625c4-bca0-4455-ae3b-2704ee2f9f53;;(n°2) Voie 1 direction Cergy;OK;;;
ESC.MEC E502 DA1D;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DA1D) Quais;OK;;;
ESC.MEC J031 Quai B;93b323ac-d440-4e6c-9b71-b8df2fdf6490;;Quai B / passerelle;OK;;;
Esc mec - TI3 Niveau 3 vers Niv4;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niveau 3 / Niveau 4;OK;;;
ESC.MEC E735 HA4D1;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(HA4D1) Quai direction Le Havre;KO;;;
Esc mec - AC 08 - hall 4 de la plateforme IDF voies 10 à 13 au niveau niveau 0;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Voies 10 à 17 IDF Ligne N / Hall 4 niveau 0;OK;;;
ESC.MEC N008 EM.4 voies H/J;cb0d0983-2489-455c-b772-7ccdf8220678;;Voies H et J / passerelle 1;OK;;;
ESC.MEC L017 grand gauche;7619e979-09ea-4176-a2da-4221bf92ec45;;Salle des colonnes;OK;;;
ESC.MEC E505 DA2D1;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DA2D1) Quais;OK;;;
esc mec - 814 - HALL 3 - accès voies D-E;a6433423-9738-42fd-a125-321b28d78e8a;;Voies D et E / Hall 3 (voies D et E);OK;;;
esc mec - 815 - HALL 3 - accès voies G-H;a6433423-9738-42fd-a125-321b28d78e8a;;Voies G et H / Hall 3 (voies G et H);OK;;;
ESC.MEC A031 EM1 Quai B V1;ae72b313-b843-42a9-bd63-ff02ef4cff8b;;Voies 1 et 3 plateforme hall;OK;;;
ESC.MEC C003 N3;29a7ff77-3141-499e-9b69-e8b08c76b90f;;Voie 2 direction Pontoise;OK;;;
esc mec - EM 22 - Quai Londres - Voie 43/45 accès C;abb69b50-0b86-49ef-8fc5-c1116b5514a2;;Voies 43 et 45 repère C Londres / Hall 3;OK;;;
ESC.MEC E709 CA3D3;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(CA3D3) Hall Caumartin Niveau Quai;OK;;;
Esc mec - Quai 3 Voies D/E [AMB26504];71e30c0e-9c3a-449a-9743-44a85d48427e;;Voies D et E / souterrain;OK;;;
ESC.MEC E536 SDE4;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(SDE4) Pôle Alsace;OK;;;
esc mec - EM 15 - Rue vers métro côté Rome;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Niveau Rue / Niveau Métro;OK;;;
ESC.MEC E055 voie A/B;f8a957f8-7e3c-448c-921b-4cf8bc095640;;Voies A et B / hall;OK;;;
Esc mec - Quai 3 nord montée;ded1a773-b7d6-4c70-b9e9-f154e65be849;;Accès hall gare / Voie 3;OK;;;
Esc mec - BC10 - hall 1 du niveau + 1 au niveau + 2 côté Bd de Vaugirard;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Hall 1 niveau 1 / niveau 2 côté boulevard de Vaugirard;OK;;;
ESC.MEC E508 DA3C2;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DA3C2) Quais;OK;;;
esc mec - EM 17 - Rue vers métro milieu côté Rome;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Niveau Rue / Niveau Métro;OK;;;
Esc mec - BC 02 - hall 1 du niveau + 2 au niveau + 1 côté  avenue du Maine;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Hall 1 niveau 2 / Mezzanine niveau 1;OK;;;
Esc mec - EM7 Quai 3 Voies 4/5 [11704166];876acd6d-c67b-47fd-95ee-f2b13b33508e;;Souterrain / Voies 4-5;INCONNU;;;
esc mec - E 30 - Plate-forme voies E - H;a6433423-9738-42fd-a125-321b28d78e8a;;Galerie Diderot / Hall 1 (voies E et H);OK;;;
ESC.MEC D021 HALL A.GR;d5fbe8bd-4b48-433f-8aa6-4e96941fb4af;;Hall accès gare routière sortie Champs Elysées;KO;;;
Esc mec - QN 1 - hall 2 du hall  au quai n° 24;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Hall 2 / Voie 24;OK;;;
ESC.MEC A045 Quai A;847c7c15-4bb0-47e8-960d-215dd730a4fc;;Voie 2B;OK;;;
esc mec - 960 - Accès RER D - Quai 2/4;a6433423-9738-42fd-a125-321b28d78e8a;;Voies 2 et 4 accès RER D - Droite / Plateforme d'échange RATP SNCF;OK;;;
ESC.MEC E519 DDF2;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DDF2) Pôle Saint Denis;OK;;;
esc mec - Hall/aerop descente Rhône;ded1a773-b7d6-4c70-b9e9-f154e65be849;;Hall / Accès aéroport - côté Rhône - descendant;KO;;;
esc mec - St Léon R-1 à RDC VM 115;bd3a55c7-b622-414f-907b-ce379d351038;;Parking St Léon / Hall St Léon;OK;;;
Esc mec - Quai 3 Voies D/E Souterrain [AM29319R];a121239c-108a-4bfa-8254-069b73dbe619;;Voies D et E / Souterrain;OK;;;
Esc mec - Voies AB  Pompidou;f8df288c-2b8b-4e2b-9cef-5cfcd7028bf4;;Voies A et B / Hall 2;OK;;;
ESC.MEC C120 BV;2d88f057-85f4-422c-b769-ef41ad4daa1b;;Voies 1 et 2 / hall;OK;;;
esc mec - cœur de gare 3;5dd4fb9f-a6f3-4107-a7cf-e198e3d3b169;;Gare / Métros Lignes 4, 5, 7;OK;;;
ESC.MEC E749 SDE1;69a5f787-dba4-4e73-92e2-b03d8aed840b;;Passage Sud correspondance RER A;OK;;;
ESC.MEC E712 CA4D1;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(CA4D1) Hall Caumartin Niveau Quai;OK;;;
esc mec - 559 (3020) : coté nord, du niveau 0 vers niveai +1, coté Disney Expresse;ce2b2a5a-aa75-4d42-bf45-4a4ab0a8929d;;Gare / côté Disney Express;OK;;;
Esc mec - Mezzanine parvis Nord côté Ouest;77474ee2-1c30-4740-a579-b52c2bc74d89;;hall nord côté ouest / mezzanine;OK;;;
